,sampleID,Variable,value,Unit,AdjunctCulture,Age[d],Experiment,MilkTreatment,Prefix,SampleNumber,SampleType,Season,Semester,SubExperiment,Trial,production_date,variable
90,EH_307_vatmilk_0h,Lactobacilli,3.176091259055681,log CFU/g,eRM.H.o,0,Liebefeld,raw,None,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Lactobacilli
91,EH_307_vatmilk_0h,Mesophilic aerobic total,4.380211241711606,log CFU/g,eRM.H.o,0,Liebefeld,raw,None,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Mesophilic_aerobic_total
92,EH_307_vatmilk_0h,Moulds,1.0,log CFU/g,eRM.H.o,0,Liebefeld,raw,<,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Moulds
93,EH_307_vatmilk_0h,PAB,1.0,log CFU/g,eRM.H.o,0,Liebefeld,raw,<,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,PAB
94,EH_307_vatmilk_0h,Salt tolerant,3.57978359661681,log CFU/g,eRM.H.o,0,Liebefeld,raw,None,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Salt_tolerant
95,EH_307_vatmilk_0h,Spores,1.724275869600789,log Spor./l,eRM.H.o,0,Liebefeld,raw,None,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Spores
96,EH_307_vatmilk_0h,Streptococci,4.612783856719735,log CFU/g,eRM.H.o,0,Liebefeld,raw,None,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Streptococci
97,EH_307_vatmilk_0h,Yeasts,3.431363764158987,log CFU/g,eRM.H.o,0,Liebefeld,raw,None,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Yeasts
98,EH_308_vatmilk_0h,Butyric spores,1.724275869600789,log Spor./l,eRM.HS.o,0,Liebefeld,raw,<,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Butyric_spores
99,EH_308_vatmilk_0h,Coag pos Staph,1.0,log CFU/g,eRM.HS.o,0,Liebefeld,raw,<,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Coag_pos_Staph
100,EH_308_vatmilk_0h,E coli,1.0,log CFU/g,eRM.HS.o,0,Liebefeld,raw,<,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,E_coli
101,EH_308_vatmilk_0h,Enterobacteriaceae,2.255272505103306,log CFU/g,eRM.HS.o,0,Liebefeld,raw,None,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterobacteriaceae
102,EH_308_vatmilk_0h,Enterococci,2.041392685158225,log CFU/g,eRM.HS.o,0,Liebefeld,raw,None,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterococci
103,EH_308_vatmilk_0h,Fac heteroferm,1.0,log CFU/g,eRM.HS.o,0,Liebefeld,raw,None,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Fac_heteroferm
104,EH_308_vatmilk_0h,Lactobacilli,2.361727836017593,log CFU/g,eRM.HS.o,0,Liebefeld,raw,None,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Lactobacilli
105,EH_308_vatmilk_0h,Mesophilic aerobic total,3.929418925714293,log CFU/g,eRM.HS.o,0,Liebefeld,raw,None,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Mesophilic_aerobic_total
106,EH_308_vatmilk_0h,Moulds,1.0,log CFU/g,eRM.HS.o,0,Liebefeld,raw,<,308,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Moulds
